,weights1,weights2,MAP
211,"[(50, 50)]","[(5, 95)]",[0.07141632303213602]
212,"[(50, 50)]","[(10, 90)]",[0.07141632303213602]
213,"[(50, 50)]","[(15, 85)]",[0.07141632303213602]
210,"[(50, 50)]","[(0, 100)]",[0.07141632303213602]
215,"[(50, 50)]","[(25, 75)]",[0.07141632303213602]
216,"[(50, 50)]","[(30, 70)]",[0.07141632303213602]
217,"[(50, 50)]","[(35, 65)]",[0.07141632303213602]
218,"[(50, 50)]","[(40, 60)]",[0.07141632303213602]
199,"[(45, 55)]","[(50, 50)]",[0.0701977235253431]
189,"[(45, 55)]","[(0, 100)]",[0.0701977235253431]
190,"[(45, 55)]","[(5, 95)]",[0.0701977235253431]
191,"[(45, 55)]","[(10, 90)]",[0.0701977235253431]
192,"[(45, 55)]","[(15, 85)]",[0.0701977235253431]
193,"[(45, 55)]","[(20, 80)]",[0.0701977235253431]
194,"[(45, 55)]","[(25, 75)]",[0.0701977235253431]
195,"[(45, 55)]","[(30, 70)]",[0.0701977235253431]
196,"[(45, 55)]","[(35, 65)]",[0.0701977235253431]
197,"[(45, 55)]","[(40, 60)]",[0.0701977235253431]
198,"[(45, 55)]","[(45, 55)]",[0.0701977235253431]
200,"[(45, 55)]","[(55, 45)]",[0.0701977235253431]
209,"[(45, 55)]","[(100, 0)]",[0.0701977235253431]
202,"[(45, 55)]","[(65, 35)]",[0.0701977235253431]
203,"[(45, 55)]","[(70, 30)]",[0.0701977235253431]
204,"[(45, 55)]","[(75, 25)]",[0.0701977235253431]
205,"[(45, 55)]","[(80, 20)]",[0.0701977235253431]
206,"[(45, 55)]","[(85, 15)]",[0.0701977235253431]
207,"[(45, 55)]","[(90, 10)]",[0.0701977235253431]
208,"[(45, 55)]","[(95, 5)]",[0.0701977235253431]
201,"[(45, 55)]","[(60, 40)]",[0.0701977235253431]
174,"[(40, 60)]","[(30, 70)]",[0.06857613019150118]
177,"[(40, 60)]","[(45, 55)]",[0.06857613019150118]
176,"[(40, 60)]","[(40, 60)]",[0.06857613019150118]
175,"[(40, 60)]","[(35, 65)]",[0.06857613019150118]
179,"[(40, 60)]","[(55, 45)]",[0.06857613019150118]
173,"[(40, 60)]","[(25, 75)]",[0.06857613019150118]
172,"[(40, 60)]","[(20, 80)]",[0.06857613019150118]
170,"[(40, 60)]","[(10, 90)]",[0.06857613019150118]
169,"[(40, 60)]","[(5, 95)]",[0.06857613019150118]
178,"[(40, 60)]","[(50, 50)]",[0.06857613019150118]
168,"[(40, 60)]","[(0, 100)]",[0.06857613019150118]
180,"[(40, 60)]","[(60, 40)]",[0.06857613019150118]
186,"[(40, 60)]","[(90, 10)]",[0.06857613019150118]
181,"[(40, 60)]","[(65, 35)]",[0.06857613019150118]
188,"[(40, 60)]","[(100, 0)]",[0.06857613019150118]
187,"[(40, 60)]","[(95, 5)]",[0.06857613019150118]
171,"[(40, 60)]","[(15, 85)]",[0.06857613019150118]
185,"[(40, 60)]","[(85, 15)]",[0.06857613019150118]
184,"[(40, 60)]","[(80, 20)]",[0.06857613019150118]
183,"[(40, 60)]","[(75, 25)]",[0.06857613019150118]
182,"[(40, 60)]","[(70, 30)]",[0.06857613019150118]
158,"[(35, 65)]","[(55, 45)]",[0.06702301774584729]
148,"[(35, 65)]","[(5, 95)]",[0.06702301774584729]
149,"[(35, 65)]","[(10, 90)]",[0.06702301774584729]
