,hparams,epochs,auc,precision
35,"{'no_components': 142, 'learning_schedule': 'adadelta', 'learning_rate': 0.00026825901411172613, 'loss': 'warp-kos', 'item_alpha': 6.948584939760985e-06, 'user_alpha': 4.259406396715521e-06, 'k': 10}",169.0,0.8147295117378235,0.008873961865901947
100,"{'no_components': 172, 'learning_schedule': 'adadelta', 'learning_rate': 0.04391898420724897, 'loss': 'warp-kos', 'item_alpha': 3.852605816814393e-06, 'user_alpha': 2.321590994957034e-06, 'k': 10}",135.0,0.8145922422409058,0.008732544258236885
30,"{'no_components': 39, 'learning_schedule': 'adagrad', 'learning_rate': 0.09032116322880035, 'loss': 'warp-kos', 'item_alpha': 1.4873667785133588e-05, 'user_alpha': 1.3082165189430129e-05, 'k': 10}",115.0,0.7555710673332214,0.008714866824448109
139,"{'no_components': 164, 'learning_schedule': 'adagrad', 'learning_rate': 0.00939562213335058, 'loss': 'warp-kos', 'item_alpha': 2.8036560637069647e-05, 'user_alpha': 1.640002623705545e-05, 'k': 10}",17.0,0.8612360954284668,0.008432031609117985
24,"{'no_components': 180, 'learning_schedule': 'adadelta', 'learning_rate': 0.015015029250807027, 'loss': 'warp-kos', 'item_alpha': 6.993608667031548e-06, 'user_alpha': 1.2833644750484031e-05, 'k': 10}",152.0,0.8143090009689331,0.008432031609117985
76,"{'no_components': 181, 'learning_schedule': 'adadelta', 'learning_rate': 0.16547637260747836, 'loss': 'warp-kos', 'item_alpha': 8.762005221070268e-06, 'user_alpha': 3.303239585051628e-06, 'k': 10}",134.0,0.8154310584068298,0.00836132187396288
22,"{'no_components': 78, 'learning_schedule': 'adagrad', 'learning_rate': 0.07185502602103447, 'loss': 'warp-kos', 'item_alpha': 6.613790544837123e-06, 'user_alpha': 7.648035824556685e-06, 'k': 10}",135.0,0.7765648365020752,0.008343645371496677
64,"{'no_components': 194, 'learning_schedule': 'adadelta', 'learning_rate': 0.000188885143051703, 'loss': 'warp-kos', 'item_alpha': 2.186735830423688e-06, 'user_alpha': 1.744234903221925e-05, 'k': 10}",152.0,0.8113416433334351,0.008113841526210308
15,"{'no_components': 172, 'learning_schedule': 'adadelta', 'learning_rate': 0.0899458473874194, 'loss': 'warp-kos', 'item_alpha': 4.8431607672442895e-06, 'user_alpha': 4.3248280237911925e-06, 'k': 10}",197.0,0.8116468787193298,0.008096164092421532
47,"{'no_components': 253, 'learning_schedule': 'adadelta', 'learning_rate': 0.00830864370337967, 'loss': 'warp-kos', 'item_alpha': 1.651129182823368e-06, 'user_alpha': 3.3356239243959242e-06, 'k': 10}",123.0,0.8118830323219299,0.008025455288589
115,"{'no_components': 207, 'learning_schedule': 'adadelta', 'learning_rate': 0.1715524351385667, 'loss': 'warp-kos', 'item_alpha': 4.747144073173829e-06, 'user_alpha': 7.3265034840742446e-06, 'k': 10}",164.0,0.8109918832778931,0.00795474648475647
104,"{'no_components': 191, 'learning_schedule': 'adadelta', 'learning_rate': 0.0645116453107131, 'loss': 'warp-kos', 'item_alpha': 3.1715894627966077e-06, 'user_alpha': 2.8115869288343845e-06, 'k': 10}",192.0,0.8105984926223755,0.007919392548501492
111,"{'no_components': 50, 'learning_schedule': 'adagrad', 'learning_rate': 0.09213698555853556, 'loss': 'warp-kos', 'item_alpha': 2.9936187035795156e-06, 'user_alpha': 1.0004198850139797e-05, 'k': 10}",92.0,0.7538357973098755,0.00784868374466896
41,"{'no_components': 137, 'learning_schedule': 'adadelta', 'learning_rate': 0.1874431864630691, 'loss': 'warp-kos', 'item_alpha': 1.4517002755100713e-05, 'user_alpha': 4.124599192859053e-06, 'k': 10}",196.0,0.8133378624916077,0.00784868374466896
101,"{'no_components': 179, 'learning_schedule': 'adagrad', 'learning_rate': 0.08759849118538755, 'loss': 'warp-kos', 'item_alpha': 6.257215258403096e-06, 'user_alpha': 1.0489624432075642e-06, 'k': 10}",154.0,0.744324803352356,0.0073713986203074455
7,"{'no_components': 153, 'learning_schedule': 'adagrad', 'learning_rate': 0.08885461838132024, 'loss': 'warp-kos', 'item_alpha': 4.103891796386042e-06, 'user_alpha': 2.8925158275174242e-05, 'k': 10}",92.0,0.7449007034301758,0.0073006898164749146
61,"{'no_components': 134, 'learning_schedule': 'adagrad', 'learning_rate': 0.0666584223847695, 'loss': 'warp-kos', 'item_alpha': 1.410205707404095e-05, 'user_alpha': 6.580927928128177e-06, 'k': 10}",103.0,0.7759787440299988,0.0072653344832360744
136,"{'no_components': 240, 'learning_schedule': 'adadelta', 'learning_rate': 0.019277466921233312, 'loss': 'warp-kos', 'item_alpha': 8.73578983180648e-06, 'user_alpha': 1.3061621779293028e-05, 'k': 10}",196.0,0.8058054447174072,0.007229981012642384
90,"{'no_components': 97, 'learning_schedule': 'adagrad', 'learning_rate': 0.06691668185576317, 'loss': 'warp-kos', 'item_alpha': 3.78598211927089e-06, 'user_alpha': 1.984654387738429e-06, 'k': 10}",181.0,0.7801632881164551,0.006876436527818441
83,"{'no_components': 113, 'learning_schedule': 'adagrad', 'learning_rate': 0.003198845668339003, 'loss': 'warp-kos', 'item_alpha': 5.311603591857097e-06, 'user_alpha': 1.8919835563812953e-05, 'k': 10}",74.0,0.8488947153091431,0.006841082125902176
99,"{'no_components': 183, 'learning_schedule': 'adagrad', 'learning_rate': 0.07240043957036664, 'loss': 'warp-kos', 'item_alpha': 1.9570929166905686e-06, 'user_alpha': 1.093489113577642e-05, 'k': 10}",100.0,0.7609577178955078,0.006505215540528297
8,"{'no_components': 137, 'learning_schedule': 'adagrad', 'learning_rate': 0.09415029207134165, 'loss': 'warp-kos', 'item_alpha': 8.708639438168468e-06, 'user_alpha': 1.1575914847064494e-07, 'k': 10}",175.0,0.7350941896438599,0.006487537641078234
