,threshold,weights1,weights2,MAP
224,[13],"[(20, 50, 30)]","[[100, 0, 0]]",[0.07458034969105841]
345,[15],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07456253510445739]
343,[15],"[(10, 20, 70)]","[[100, 0, 0]]",[0.0745563070208735]
342,[15],"[(10, 10, 80)]","[[100, 0, 0]]",[0.07454559753081068]
292,[14],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07453943789688265]
50,[10],"[(50, 50, 0)]","[[100, 0, 0]]",[0.07453173186859628]
90,[11],"[(20, 30, 50)]","[[100, 0, 0]]",[0.0745310674977406]
278,[14],"[(10, 30, 60)]","[[100, 0, 0]]",[0.07451822682667095]
169,[12],"[(30, 70, 0)]","[[100, 0, 0]]",[0.07451672934083042]
89,[11],"[(20, 20, 60)]","[[100, 0, 0]]",[0.07451318273562825]
31,[10],"[(30, 10, 60)]","[[100, 0, 0]]",[0.0745108622950812]
42,[10],"[(40, 40, 20)]","[[100, 0, 0]]",[0.07449964378899333]
358,[15],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07448364477453481]
32,[10],"[(30, 20, 50)]","[[100, 0, 0]]",[0.07443942053477634]
279,[14],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07443382931970599]
159,[12],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07442307042007049]
91,[11],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07441820492723494]
158,[12],"[(20, 50, 30)]","[[100, 0, 0]]",[0.07440307983589266]
285,[14],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07437276365315361]
102,[11],"[(30, 60, 10)]","[[100, 0, 0]]",[0.07431716571949491]
153,[12],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07431294572445013]
277,[14],"[(10, 20, 70)]","[[100, 0, 0]]",[0.07430702489881683]
341,[15],"[(10, 0, 90)]","[[100, 0, 0]]",[0.07425949492204305]
226,[13],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07424689303143196]
276,[14],"[(10, 10, 80)]","[[100, 0, 0]]",[0.0742460903416093]
212,[13],"[(10, 30, 60)]","[[100, 0, 0]]",[0.07423166282992279]
346,[15],"[(10, 50, 40)]","[[100, 0, 0]]",[0.0742257379123419]
359,[15],"[(20, 80, 0)]","[[100, 0, 0]]",[0.07418717851487609]
219,[13],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07417532266705636]
293,[14],"[(20, 80, 0)]","[[100, 0, 0]]",[0.07417516221816826]
280,[14],"[(10, 50, 40)]","[[100, 0, 0]]",[0.07412565237894365]
213,[13],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07412473639505883]
146,[12],"[(10, 30, 60)]","[[100, 0, 0]]",[0.07411924040824067]
33,[10],"[(30, 30, 40)]","[[100, 0, 0]]",[0.0740684834714038]
347,[15],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07404805722005955]
281,[14],"[(10, 60, 30)]","[[100, 0, 0]]",[0.07402481261885843]
43,[10],"[(40, 50, 10)]","[[100, 0, 0]]",[0.0740184961269351]
87,[11],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07398460450050545]
103,[11],"[(30, 70, 0)]","[[100, 0, 0]]",[0.0739753915498462]
211,[13],"[(10, 20, 70)]","[[100, 0, 0]]",[0.07396080815443769]
210,[13],"[(10, 10, 80)]","[[100, 0, 0]]",[0.07395010022321204]
160,[12],"[(20, 70, 10)]","[[100, 0, 0]]",[0.07393865746725557]
144,[12],"[(10, 10, 80)]","[[100, 0, 0]]",[0.07392699240997697]
44,[10],"[(40, 60, 0)]","[[100, 0, 0]]",[0.0739211284262295]
227,[13],"[(20, 80, 0)]","[[100, 0, 0]]",[0.07391218459768165]
147,[12],"[(10, 40, 50)]","[[100, 0, 0]]",[0.07390132866042923]
145,[12],"[(10, 20, 70)]","[[100, 0, 0]]",[0.07389803183105503]
282,[14],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07388234536345896]
93,[11],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07386810878149566]
92,[11],"[(20, 50, 30)]","[[100, 0, 0]]",[0.07386273697276391]
22,[10],"[(20, 10, 70)]","[[100, 0, 0]]",[0.07383845273848264]
35,[10],"[(30, 50, 20)]","[[100, 0, 0]]",[0.07381965015528465]
275,[14],"[(10, 0, 90)]","[[100, 0, 0]]",[0.07381419514361617]
348,[15],"[(10, 70, 20)]","[[100, 0, 0]]",[0.07379720946870667]
34,[10],"[(30, 40, 30)]","[[100, 0, 0]]",[0.07378877604800277]
214,[13],"[(10, 50, 40)]","[[100, 0, 0]]",[0.07378851775424286]
80,[11],"[(10, 30, 60)]","[[100, 0, 0]]",[0.0737132507187463]
