,topK,weights,MAP
39,[900],"[array([0.4, 0.1, 0.5])]",[0.06711400314943006]
171,[1000],"[array([0.4, 0.1, 0.5])]",[0.06711224720281121]
88,[950],"[array([0.2, 0.1, 0.7])]",[0.06707251274828191]
97,[950],"[array([0.3, 0.1, 0.6])]",[0.06706779453772735]
154,[1000],"[array([0.2, 0.1, 0.7])]",[0.06706409547267773]
295,[1100],"[array([0.3, 0.1, 0.6])]",[0.06703136309224836]
163,[1000],"[array([0.3, 0.1, 0.6])]",[0.0670304552644225]
31,[900],"[array([0.3, 0.1, 0.6])]",[0.06702667372018226]
229,[1050],"[array([0.3, 0.1, 0.6])]",[0.06702165173122444]
361,[1150],"[array([0.3, 0.1, 0.6])]",[0.06702092361506098]
427,[1200],"[array([0.3, 0.1, 0.6])]",[0.06700446646947811]
78,[950],"[array([0.1, 0.1, 0.8])]",[0.06696650360561252]
408,[1200],"[array([0.1, 0.1, 0.8])]",[0.06696059594658649]
276,[1100],"[array([0.1, 0.1, 0.8])]",[0.06696014499724794]
144,[1000],"[array([0.1, 0.1, 0.8])]",[0.06695890129567407]
250,[1050],"[array([0.6, 0.1, 0.3])]",[0.0669546892061612]
342,[1150],"[array([0.1, 0.1, 0.8])]",[0.06695323044072356]
12,[900],"[array([0.1, 0.1, 0.8])]",[0.06694809451746678]
210,[1050],"[array([0.1, 0.1, 0.8])]",[0.06694688861769549]
184,[1000],"[array([0.6, 0.1, 0.3])]",[0.06694093725555478]
118,[950],"[array([0.6, 0.1, 0.3])]",[0.06693958930674183]
316,[1100],"[array([0.6, 0.1, 0.3])]",[0.06692287022083329]
382,[1150],"[array([0.6, 0.1, 0.3])]",[0.06690976897342057]
448,[1200],"[array([0.6, 0.1, 0.3])]",[0.06690976897342057]
52,[900],"[array([0.6, 0.1, 0.3])]",[0.06690731625440091]
418,[1200],"[array([0.2, 0.1, 0.7])]",[0.06688697810519575]
352,[1150],"[array([0.2, 0.1, 0.7])]",[0.0668778448779257]
286,[1100],"[array([0.2, 0.1, 0.7])]",[0.06683170816758977]
220,[1050],"[array([0.2, 0.1, 0.7])]",[0.06682289302662166]
178,[1000],"[array([0.5, 0.1, 0.4])]",[0.06671271811417384]
310,[1100],"[array([0.5, 0.1, 0.4])]",[0.06670294061391363]
244,[1050],"[array([0.5, 0.1, 0.4])]",[0.06669707919111302]
112,[950],"[array([0.5, 0.1, 0.4])]",[0.06668412842716476]
46,[900],"[array([0.5, 0.1, 0.4])]",[0.06668299506899691]
442,[1200],"[array([0.5, 0.1, 0.4])]",[0.06666344546873401]
376,[1150],"[array([0.5, 0.1, 0.4])]",[0.06665172078593179]
255,[1050],"[array([0.7, 0.1, 0.2])]",[0.0665494326990513]
189,[1000],"[array([0.7, 0.1, 0.2])]",[0.06653776413438899]
123,[950],"[array([0.7, 0.1, 0.2])]",[0.0665283376230306]
453,[1200],"[array([0.7, 0.1, 0.2])]",[0.06652352415638726]
387,[1150],"[array([0.7, 0.1, 0.2])]",[0.06650879314466138]
321,[1100],"[array([0.7, 0.1, 0.2])]",[0.0665045141364934]
57,[900],"[array([0.7, 0.1, 0.2])]",[0.06648264509779314]
193,[1000],"[array([0.8, 0.1, 0.1])]",[0.06639961118368606]
127,[950],"[array([0.8, 0.1, 0.1])]",[0.06638016558013478]
61,[900],"[array([0.8, 0.1, 0.1])]",[0.06636254431718537]
457,[1200],"[array([0.8, 0.1, 0.1])]",[0.06636218957037236]
391,[1150],"[array([0.8, 0.1, 0.1])]",[0.06635482406450943]
259,[1050],"[array([0.8, 0.1, 0.1])]",[0.06633773391966985]
325,[1100],"[array([0.8, 0.1, 0.1])]",[0.06633147658005181]
196,[1000],"[array([0.9, 0.1, 0. ])]",[0.0662579903490606]
130,[950],"[array([0.9, 0.1, 0. ])]",[0.06623416775328753]
328,[1100],"[array([0.9, 0.1, 0. ])]",[0.06620757321090134]
394,[1150],"[array([0.9, 0.1, 0. ])]",[0.06620650095358525]
460,[1200],"[array([0.9, 0.1, 0. ])]",[0.06620650095358525]
262,[1050],"[array([0.9, 0.1, 0. ])]",[0.06619236118654767]
64,[900],"[array([0.9, 0.1, 0. ])]",[0.06618753508218836]
424,[1200],"[array([0.2, 0.7, 0.1])]",[0.06518929647917013]
358,[1150],"[array([0.2, 0.7, 0.1])]",[0.06517343608987858]
226,[1050],"[array([0.2, 0.7, 0.1])]",[0.0651725458824806]
292,[1100],"[array([0.2, 0.7, 0.1])]",[0.06517167638534857]
160,[1000],"[array([0.2, 0.7, 0.1])]",[0.06515338671526849]
67,[950],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
199,[1050],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
1,[900],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
331,[1150],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
133,[1000],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
265,[1100],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
397,[1200],"[array([0. , 0.1, 0.9])]",[0.06514384256737268]
94,[950],"[array([0.2, 0.7, 0.1])]",[0.06507009019276264]
28,[900],"[array([0.2, 0.7, 0.1])]",[0.06501169907333355]
412,[1200],"[array([0.1, 0.5, 0.4])]",[0.06479182906410122]
346,[1150],"[array([0.1, 0.5, 0.4])]",[0.06477079177640316]
16,[900],"[array([0.1, 0.5, 0.4])]",[0.06476844130040328]
214,[1050],"[array([0.1, 0.5, 0.4])]",[0.06476797100478142]
280,[1100],"[array([0.1, 0.5, 0.4])]",[0.06474943899118638]
82,[950],"[array([0.1, 0.5, 0.4])]",[0.06473950688767764]
148,[1000],"[array([0.1, 0.5, 0.4])]",[0.06473505793841633]
