,threshold,weights1,weights2,MAP
86,[11],"[[100, 0, 0]]","[(10, 90, 0)]",[0.06436752498582227]
280,[14],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06433664408646411]
85,[11],"[[100, 0, 0]]","[(10, 80, 10)]",[0.06429076739574364]
10,[10],"[[100, 0, 0]]","[(0, 100, 0)]",[0.06423684153769398]
346,[15],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06423655855306586]
7,[10],"[[100, 0, 0]]","[(0, 70, 30)]",[0.06411877648714957]
215,[13],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06402828915989493]
3,[10],"[[100, 0, 0]]","[(0, 30, 70)]",[0.06393940253577386]
150,[12],"[[100, 0, 0]]","[(10, 70, 20)]",[0.0639390130491599]
9,[10],"[[100, 0, 0]]","[(0, 90, 10)]",[0.06390998777849345]
8,[10],"[[100, 0, 0]]","[(0, 80, 20)]",[0.0638294044678412]
152,[12],"[[100, 0, 0]]","[(10, 90, 0)]",[0.06370324521070639]
281,[14],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06367294542359463]
347,[15],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06364970082239352]
151,[12],"[[100, 0, 0]]","[(10, 80, 10)]",[0.06364495048865752]
216,[13],"[[100, 0, 0]]","[(10, 70, 20)]",[0.0636140238819651]
71,[11],"[[100, 0, 0]]","[(0, 50, 50)]",[0.06335106981105502]
218,[13],"[[100, 0, 0]]","[(10, 90, 0)]",[0.0633496708659959]
348,[15],"[[100, 0, 0]]","[(10, 70, 20)]",[0.06332462480569646]
217,[13],"[[100, 0, 0]]","[(10, 80, 10)]",[0.06329503551432021]
282,[14],"[[100, 0, 0]]","[(10, 70, 20)]",[0.06323948891094416]
72,[11],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06321955344279659]
70,[11],"[[100, 0, 0]]","[(0, 40, 60)]",[0.06316681942714686]
350,[15],"[[100, 0, 0]]","[(10, 90, 0)]",[0.06316174440988719]
2,[10],"[[100, 0, 0]]","[(0, 20, 80)]",[0.06315775400929582]
