,topK,weights,MAP
607,[1150],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
871,[1350],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
1003,[1450],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
475,[1050],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
673,[1200],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
739,[1250],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
937,[1400],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
1069,[1500],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
409,[1000],"[array([0.1, 0.2, 0.7])]",[0.07252398716444522]
277,[900],"[array([0.1, 0.2, 0.7])]",[0.07252293478230368]
145,[800],"[array([0.1, 0.2, 0.7])]",[0.07246003748201828]
13,[700],"[array([0.1, 0.2, 0.7])]",[0.07240464534270885]
637,[1150],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
769,[1250],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
901,[1350],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
571,[1100],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
967,[1400],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
835,[1300],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
439,[1000],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
1033,[1450],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
505,[1050],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
703,[1200],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
1099,[1500],"[array([0.4, 0.5, 0.1])]",[0.07234296944705775]
241,[850],"[array([0.4, 0.5, 0.1])]",[0.07229753254328786]
307,[900],"[array([0.4, 0.5, 0.1])]",[0.0722884090030777]
373,[950],"[array([0.4, 0.5, 0.1])]",[0.07228188485176772]
109,[750],"[array([0.4, 0.5, 0.1])]",[0.0721351203553721]
175,[800],"[array([0.4, 0.5, 0.1])]",[0.07212016303388548]
43,[700],"[array([0.4, 0.5, 0.1])]",[0.0720950760262727]
185,[800],"[array([0.6, 0.2, 0.2])]",[0.07181782978415038]
383,[950],"[array([0.6, 0.2, 0.2])]",[0.07180211951645042]
251,[850],"[array([0.6, 0.2, 0.2])]",[0.07176490122004836]
317,[900],"[array([0.6, 0.2, 0.2])]",[0.07176248814003232]
53,[700],"[array([0.6, 0.2, 0.2])]",[0.07176052038640625]
449,[1000],"[array([0.6, 0.2, 0.2])]",[0.07174849462532963]
713,[1200],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
581,[1100],"[array([0.6, 0.2, 0.2])]",[0.07174407532181186]
